"Value","Abbreviation","setor","local","sala","tipo","marca","modelo"
"-","-","Gerência Administrativa","Anexo – térreo","","PC","-","-"
"-","-","Gerência Administrativa","Anexo – térreo","","Mini Switch","-","-"
"-","-","Gerência Administrativa","Anexo – térreo","","Nobreak","-","-"
2896,2896,"ASCOM","Anexo – térreo","","PC","-","-"
2911,2911,"ASCOM","Anexo – térreo","","Nobreak","-","-"
"-","-","ASCOM","Anexo – térreo","","Caixa Som","-","-"
2896,2896,"ASCOM","Anexo – térreo","","Monitor","LG","20n37aa-b"
2085,2085,"ASCOM","Anexo – térreo","","PC","-","-"
2254,2254,"ASCOM","Anexo – térreo","","Monitor","AOC","e940swa"
2339,2339,"ASCOM","Anexo – térreo","","PC","-","-"
2245,2245,"ASCOM","Anexo – térreo","","Monitor","AOC","e940swa"
2908,2908,"ASCOM","Anexo – térreo","","Impressora","EPSON","l6191"
209537,209537,"ASCOM","Anexo – térreo","","Nobreak","-","-"
2247,2247,"ASCOM","Anexo – térreo","","PC","-","-"
2255,2255,"ASCOM","Anexo – térreo","","Monitor","AOC","e940swa"
"-","-","ASCOM","Anexo – térreo","","Caixa Som","-","-"
487,487,"ASCOM","Anexo – térreo","","Nobreak","SMS","-"
2341,2341,"ASCOM","Anexo – térreo","","PC","-","-"
2244,2244,"ASCOM","Anexo – térreo","","Monitor","AOC","e940swa"
2398,2398,"ASCOM","Anexo – térreo","","PC","-","-"
2288,2288,"ASCOM","Anexo – térreo","","Monitor","AOC","e940swa"
488,488,"ASCOM","Anexo – térreo","","Nobreak","SMS","-"
2463,2463,"COMPRAS/LICITAÇÃO","Anexo – térreo","","PC","-","-"
2251,2251,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","AOC","e940swa"
1900,1900,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Estabilizador","UPSAL","-"
2850,2850,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Multifuncional","KYOCERA","m2040dn/L"
2268,2268,"COMPRAS/LICITAÇÃO","Anexo – térreo","","PC","-","-"
2274,2274,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","AOC","e940swa"
"-","-","COMPRAS/LICITAÇÃO","Anexo – térreo","","Estabilizador","Forceline","-"
"-","-","COMPRAS/LICITAÇÃO","Anexo – térreo","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
308,308,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Nobreak","Forceline","-"
209512,209512,"COMPRAS/LICITAÇÃO","Anexo – térreo","","PC","-","-"
2261,2261,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","AOC","e940swa"
2591,2591,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Nobreak","SMS","manager net 4t+"
"-","-","COMPRAS/LICITAÇÃO","Anexo – térreo","","Access Point","TP-Link","Tl-wa901nd"
209493,209493,"COMPRAS/LICITAÇÃO","Anexo – térreo","","PC","-","-"
2899,2899,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","LG","20m37aa"
209553,209553,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Nobreak","SMS","manager net 4t+"
2919,2919,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Impressora","Brother","ads-3000n"
253677,253677,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Notebook","Lenovo","b490"
2252,2252,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","AOC","e940swa"
2899,2899,"COMPRAS/LICITAÇÃO","Anexo – térreo","","PC","-","-"
"-","-","COMPRAS/LICITAÇÃO","Anexo – térreo","","Monitor","AOC","e950swn"
2914,2914,"COMPRAS/LICITAÇÃO","Anexo – térreo","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
209510,209510,"REDATORIA","Principal","","PC","-","-"
2257,2257,"REDATORIA","Principal","","Monitor","AOC","e950swn"
514,514,"REDATORIA","Principal","","Nobreak","-","-"
209611,209611,"REDATORIA","Principal","","Notebook","-","-"
2788,2788,"REDATORIA","Principal","","UNIFI","Ubiquiti","Uap-ac-lr"
2894,2894,"REDATORIA","Principal","","PC","-","-"
"2898 (PMFS)","2898 (PMFS)","REDATORIA","Principal","","Monitor","LG","20m37aa"
2912,2912,"REDATORIA","Principal","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
2898,2898,"REDATORIA","Principal","","PC","-","-"
"-","-","REDATORIA","Principal","","Monitor","AOC","e950swn"
209571,209571,"REDATORIA","Principal","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
209594,209594,"REDATORIA","Principal","","Impressora","EPSON","l355"
253684,253684,"FINANCEIRO","Principal","","PC","-","-"
253680,253680,"FINANCEIRO","Principal","","Monitor","AOC","e2050s"
2385,2385,"FINANCEIRO","Principal","","Scanner","Kodak","i2400"
2790,2790,"FINANCEIRO","Principal","","Nobreak","Enermax","-"
2065,2065,"FINANCEIRO","Principal","","Monitor","AOC","717fwy-1"
"-","-","FINANCEIRO","Principal","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
2401,2401,"FINANCEIRO","Principal","","Multifuncional","Brother","dcp8080dn"
2292,2292,"FINANCEIRO","Principal","","PC","-","-"
209523,209523,"FINANCEIRO","Principal","","Monitor","AOC","e950swn"
2980,2980,"FINANCEIRO","Principal","","Nobreak","Forceline","ups1200"
283124,283124,"FINANCEIRO","Principal","","UNIFI","Ubiquiti","Uap-ac-lr"
2294,2294,"FINANCEIRO","Principal","","PC","-","-"
2789,2789,"FINANCEIRO","Principal","","Monitor","AOC","e970swn"
2089,2089,"FINANCEIRO","Principal","","Nobreak","SMS","ust600bifxrm"
"-","-","FINANCEIRO","Principal","","Switch","TP-Link","tl-sf1008-d"
2291,2291,"FINANCEIRO","Principal","","PC","-","-"
2243,2243,"FINANCEIRO","Principal","","Monitor","AOC","e950swn"
"-","-","FINANCEIRO","Principal","","Nobreak","SMS","ust-900-s"
2281,2281,"OUVIDORIA","Anexo – térreo","","PC","-","-"
209542,209542,"OUVIDORIA","Anexo – térreo","","Monitor","AOC","e950sw"
"-","-","OUVIDORIA","Anexo – térreo","","Nobreak","SMS","sms1400b"
2256,2256,"OUVIDORIA","Anexo – térreo","","PC","-","-"
2069,2069,"OUVIDORIA","Anexo – térreo","","Monitor","AOC","717fwy-1"
209563,209563,"OUVIDORIA","Anexo – térreo","","Nobreak","Ragtech","Sv 1600m net/bs-m1"
"-","-","ALMOXARIFADO","Anexo – 1 andar","","PC","-","-"
2344,2344,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","AOC","940swa"
2917,2917,"ALMOXARIFADO","Anexo – 1 andar","","Nobreak","SMS","Sv 1600m net/bs-m1"
2793,2793,"ALMOXARIFADO","Anexo – 1 andar","","Impressora","EPSON","L575"
2903,2903,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","LG","20m37aa-b"
491,491,"ALMOXARIFADO","Anexo – 1 andar","","Nobreak","SMS","netstation"
2249,2249,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","AOC","940swa"
2346,2346,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","AOC","940swa"
2347,2347,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","AOC","940swa"
2072,2072,"ALMOXARIFADO","Anexo – 1 andar","","Monitor","AOC","717fwy-1"
"-","-","ALMOXARIFADO","Anexo – 1 andar","","Monitor","LG","E1960t-pn"
2289,2289,"BIBLIOTECA","Anexo – 1 andar","","PC","-","-"
2343,2343,"BIBLIOTECA","Anexo – 1 andar","","Monitor","AOC","940swa"
1908,1908,"BIBLIOTECA","Anexo – 1 andar","","Estabilizador","Hi Tech","-"
"209615?","209615?","BIBLIOTECA","Anexo – 1 andar","","Multifuncional","EPSON","l355"
2241,2241,"BIBLIOTECA","Anexo – 1 andar","","Multifuncional","Brother","dcp8085dn"
1898,1898,"BIBLIOTECA","Anexo – 1 andar","","Estabilizador","Hi Tech","-"
"-","-","BIBLIOTECA","Anexo – 1 andar","","Switch","TP-Link","tl-sf1008-d"
2278,2278,"LEGISLATIVO","Principal","","PC","-","-"
2260,2260,"LEGISLATIVO","Principal","","Monitor","AOC","940swa"
2293,2293,"LEGISLATIVO","Principal","","PC","-","-"
2266,2266,"LEGISLATIVO","Principal","","Monitor","AOC","940swa"
253667,253667,"FINANCEIRO","Principal","","Nobreak","Enermax","Yup-e"
"-","-","FINANCEIRO","Principal","","Switch","Intelbras","sf800q+"
209597,209597,"FINANCEIRO","Principal","","Multifuncional","EPSON","l355"
